customer_id,customer_name,customer_email,join_date
C001,Raj,raj1@example.com,2023-10-26
C002,Priya,priya2@example.com,2022-05-04
C003,Amit,amit3@example.com,2022-02-04
C004,Sneha,sneha4@example.com,2022-10-18
C005,Vikram,vikram5@example.com,2022-09-17
C006,Anjali,anjali6@example.com,2022-08-26
C007,Karan,karan7@example.com,2022-06-01
C008,Divya,divya8@example.com,2022-04-24
C009,Rohan,rohan9@example.com,2023-12-03
C010,Neha,neha10@example.com,2023-07-22
C011,Arjun,arjun11@example.com,2022-04-09
C012,Pooja,pooja12@example.com,2023-09-06
C013,Sanjay,sanjay13@example.com,2023-03-18
C014,Meera,meera14@example.com,2022-02-11
C015,Aditya,aditya15@example.com,2022-02-09
C016,Kavya,kavya16@example.com,2022-04-15
C017,Manish,manish17@example.com,2022-08-21
C018,Riya,riya18@example.com,2022-09-05
C019,Suresh,suresh19@example.com,2023-06-11
C020,Tanya,tanya20@example.com,2023-09-18
C021,Vivek,vivek21@example.com,2022-02-06
C022,Isha,isha22@example.com,2023-08-07
C023,Nikhil,nikhil23@example.com,2022-08-01
C024,Shreya,shreya24@example.com,2023-11-06
